date,food and beverages,apparel,housing,furniture,medical care,transportation,communication,recreation,education,hotel and restaurant,other goods and services,CPI change
2/1/1390,3.8,1.6,4.2,1.2,0.5,0.7,0,0.5,0.1,1.5,2.7,2.8
3/1/1390,1.9,1.7,2.5,1.8,0.9,0.7,0.2,0.5,0,3.5,2.1,1.8
4/1/1390,0.8,1.6,3.6,1.9,1.6,1.1,0,1,0.2,2.4,0.7,1.8
5/1/1390,1.7,0.9,4.2,1.1,1.4,0.6,0,0.4,0.1,0.9,3,2.2
6/1/1390,1.3,1.3,2,1,1.4,0.5,0,2.1,0.5,0.8,7,1.6
7/1/1390,1.8,1.2,1.8,0.9,2,1.2,0.1,2.1,7.2,1.8,0.7,1.7
8/1/1390,1.7,1,0.6,0.6,0.5,0.4,0.1,2.1,1.1,0.6,4.9,1.1
9/1/1390,2.7,1.4,1.2,1,0.6,0.5,0.1,1.4,0.2,0.9,1.6,1.5
10/1/1390,2.2,1.7,0.7,1.2,0.9,0.7,0.3,2.9,0.1,1,4.8,1.4
11/1/1390,5,3.3,-0.2,2.4,0.6,0.6,0.7,2.9,0.1,1.6,8.6,2.2
12/1/1390,5.1,4.4,0.3,2.9,0.5,1,0.3,2.6,0.1,2,2.5,2.3
1/1/1391,3.5,1.9,0.9,1.9,1,1.9,0,0.2,0.2,3.9,1,1.9
2/1/1391,2.8,2.1,0.8,2.9,1.2,1.5,-0.1,0.7,0.2,2.5,-1.9,1.5
3/1/1391,0.3,1.9,0.9,1.8,1.1,0.9,0.2,1.3,0.1,2,1.7,0.9
4/1/1391,7.6,2.2,2.2,2.2,4.9,1.6,2.8,1.7,0.2,4,3.5,4
5/1/1391,2.7,1.7,2.6,2.3,2.7,1.6,0.2,1,0.5,2,2.1,2.3
6/1/1391,1,3,2.7,3.6,2,2,0.5,3,0.3,3.2,5.5,2.1
7/1/1391,4.8,6.4,2.8,9.2,5.4,6.3,3,10.4,6.6,4.3,13.3,5.1
8/1/1391,5.3,5.8,1.4,8.7,1.8,4.6,0.5,3.7,0.7,3,3.9,3.7
9/1/1391,1.8,3.5,0.4,4.3,1.3,1,4.9,1.3,0.4,1.8,0.5,1.5
10/1/1391,1.9,2.4,1.3,3.4,2.2,2.3,0.3,13.9,0.3,2.7,3.7,2.2
11/1/1391,7,4.7,0.6,5.3,1.3,12.9,0.5,3,0.4,2.8,7.5,4.7
12/1/1391,6.2,5.3,0.1,4.3,1,1.9,0.2,3.3,0.3,2.9,-0.7,2.9
1/1/1392,6.9,2.2,1.5,2.3,2.3,-0.2,0,2.4,0.1,4.5,2.6,3.4
2/1/1392,0.6,3.3,0.6,3.9,3.4,0.6,0.2,2.5,0.1,3.2,0.5,1.1
3/1/1392,3,3.1,3,2.7,5.7,3.6,0.2,1.2,0.1,1.9,0.5,2.9
4/1/1392,2.4,1.9,2.5,1.7,8.4,2.6,-0.1,0.7,1,2.8,-3.4,2.4
5/1/1392,2,1.8,1.7,1.6,3.5,0.8,3.7,0.6,0.4,1.3,0.9,1.8
6/1/1392,0.5,2.2,1.7,1.4,1.6,1,0.7,1.3,1.7,1.8,2.7,1.2
7/1/1392,1.3,1.6,1.6,1.1,2.7,0.6,1.3,2.3,9.5,2.3,-1.9,1.4
8/1/1392,1.1,1.6,2.6,0.9,1.2,1.5,0,0.9,0.4,1.4,0.4,1.5
9/1/1392,-0.1,0.8,1.6,0.5,0.6,0.3,-0.1,-0.2,0.7,0.8,-1.2,0.5
10/1/1392,1.8,0.9,0.8,0.5,1.2,0.7,0,1.3,0.1,1.5,0.7,1.1
11/1/1392,-0.4,0.8,0,0.5,0.4,0.7,0,0,0.2,0.7,0.6,0.1
12/1/1392,0.8,2.1,0.1,0.7,0.5,0.8,0,1.3,0.2,0.9,2.7,0.8
1/1/1393,1.8,1,1.6,0.7,0.9,1.6,0,1.1,0.1,1.9,1.1,1.4
2/1/1393,-3.8,1.8,1.6,1.7,1.2,11.9,1.4,1.3,0.1,1.4,3.9,0.7
3/1/1393,-0.3,1.1,1.4,0.9,2.3,1.1,0.8,0.3,0.1,1.1,-0.2,0.7
4/1/1393,3,1,2.1,0.8,4.9,2.8,1.1,0.4,0.7,3.2,1.6,2.4
5/1/1393,2.3,0.8,2.1,0.6,0.8,0.6,-0.1,0.3,0.1,0.9,0.5,1.6
6/1/1393,0.9,0.9,1,0.6,0.3,0.1,0.5,4.2,1.7,0.8,0.2,0.8
7/1/1393,0.2,1,2.4,0.6,1.2,0.6,0.1,4.3,13,1.3,0.5,1.3
8/1/1393,1,0.7,1.2,0.5,1,0.3,0,2.4,0.7,0.6,-0.2,0.9
9/1/1393,4.6,0.8,0.8,0.6,1,0.3,0.2,0.8,0.5,0.8,1.6,2
10/1/1393,-0.5,0.7,2,0.6,1.6,0.5,1.6,0.7,0.2,1,1.2,0.7
11/1/1393,-0.5,0.7,0,0.6,0.9,0.2,0,0.2,0.4,0.7,0.7,0.1
12/1/1393,0.5,1.6,0.6,0.6,0.5,0.5,0,0.6,0,0.9,0.1,0.6
1/1/1394,2.2,0.6,0.5,0.6,1.4,1.3,0.6,0.8,0.1,1.9,0.6,1.2
2/1/1394,0.2,0.7,0.6,0.5,1.8,0.7,0.3,0.2,0.2,0.9,0.6,0.5
3/1/1394,0.6,0.5,1.4,0.5,1.7,3.7,0,0.1,0.1,1.6,0.2,1.1
4/1/1394,1,0.4,1.8,0.4,2.9,1,0.1,0.2,0.3,1.5,-0.1,1.2
5/1/1394,0.3,0.5,1.1,0.3,0.5,-0.1,0,0,0,0.9,0.2,0.5
6/1/1394,-0.2,0.5,2.4,0.3,0.4,-0.1,0.2,1.2,0.6,0.6,1.3,0.8
7/1/1394,-0.9,0.5,1.8,0.3,0.7,0.1,0.2,1.9,12.2,1,1.9,0.6
8/1/1394,0.1,0.5,1.6,0.3,0.5,0.1,0,0.2,0.5,0.4,0.3,0.6
9/1/1394,3.1,0.5,0.6,0.3,0.4,0.3,0,0.3,0.3,0.4,0.3,1.3
10/1/1394,0.9,0.4,-0.5,0.3,0.6,0.4,0,0.3,0.1,0.6,1.3,0.3
11/1/1394,-0.5,0.4,-0.9,0.3,0.2,0.1,0,0.2,0.2,0.4,0.6,-0.3
12/1/1394,0.1,0.9,0,0.4,0.1,0.3,-0.1,0.1,0,0.6,1.2,0.2
1/1/1395,-0.1,0.7,0.4,0.5,0.8,0.9,0.3,0.4,0.2,1.9,3.1,0.6
2/1/1395,-0.2,0.3,0,0.3,0.4,0.6,0,0.2,0.1,0.6,0.5,0.1
3/1/1395,1.6,0.4,0.3,0.3,0.5,0.2,0,0.2,0.1,0.4,0.4,0.7
4/1/1395,1.2,0.4,0.9,0.3,3.4,0.9,0.1,0.1,0.4,0.8,1,1.1
5/1/1395,2.1,0.4,0.8,0.3,0.5,0.4,0.4,0.2,0,0.6,0.4,1
6/1/1395,0.3,0.4,0.4,0.3,0.4,0.3,-0.1,0.4,0.3,0.4,0.3,0.3
7/1/1395,-0.7,0.4,0.8,0.4,1.2,0.7,0.3,1.8,7.8,0.6,0.4,0.5
8/1/1395,0.3,0.4,0.2,0.3,0.1,0.2,0.1,0.3,1.1,0.2,0.2,0.3
9/1/1395,2,0.5,0.4,0.4,0.2,0.3,0.3,0.4,0.2,0.5,0.3,0.8
10/1/1395,1.3,0.5,0.6,0.7,0.8,0.6,0.6,1.6,0.2,0.7,0.6,0.8
11/1/1395,1.5,0.5,0,0.5,0.2,0.1,0.1,0.2,0.2,0.4,0.3,0.5
12/1/1395,4.2,1.2,-0.3,0.5,0.3,0.2,0.3,0.2,0,0.3,0.6,1.2
1/1/1396,2.7,0.5,1.1,0.4,0.5,0.6,0.2,1.2,0.3,1.5,2,1.4
2/1/1396,-1.2,0.5,0.3,0.5,0.3,0.3,0.2,0.3,0,0.4,0.5,-0.1
3/1/1396,-0.2,0.4,0.4,0.5,0.2,0.2,-0.1,0.2,0,0.2,0.4,0.2
4/1/1396,0.5,0.3,1.9,0.4,0.9,1,0.6,0.9,0.4,0.8,0.7,1
5/1/1396,0.3,0.4,0.6,0.3,0.2,0.2,0.2,0.3,0.1,0.4,0.3,0.4
6/1/1396,-1.3,0.4,0.7,0.3,0.3,0.3,0.1,0.5,0.4,0.5,0.5,0
7/1/1396,0.2,0.4,2,0.5,2.9,1,0.6,1.4,7.7,0.7,1.3,1.3
8/1/1396,2.2,0.3,0.9,0.4,0.2,0.1,0.3,0.3,1.3,0.3,0.3,1
9/1/1396,2.4,0.3,0,0.4,0.2,0.1,0.4,0.2,0.1,0.5,0.5,0.7
10/1/1396,0.3,0.5,0.2,0.6,0.8,0.5,0.3,0.9,0.2,0.6,1.1,0.4
11/1/1396,0.3,0.6,0,0.8,0.2,0.3,0.3,0.6,1.4,0.3,0.6,0.3
12/1/1396,0.2,1.4,-0.2,1,0.2,0.6,0.2,0.6,0.5,0.5,0.7,0.2
1/1/1397,2.3,0.5,0.7,0.8,0.7,0.8,0.4,2.6,0.2,1.4,4.2,1.3
2/1/1397,0.8,1.5,1,2.6,0.7,1.2,1.7,2.7,0,0.9,2,1.1
3/1/1397,4.2,2.2,0.3,2.7,0.7,1.9,1.1,2.2,0.1,0.9,1.7,1.9
4/1/1397,3.2,3.3,5.9,4.2,5.8,4.2,3.1,5.1,0.6,2.6,3.5,4.4
5/1/1397,9.1,5.1,2.4,7.7,2.5,6.5,3.9,6.2,0.4,3.7,4.7,5.2
6/1/1397,6.4,7.7,2.3,10.6,1.5,11.3,4.3,12.3,1.2,4.5,8.5,5.4
7/1/1397,8.6,7.3,5,12,4.2,2.2,17.6,14.6,14.5,6.5,9.9,7.1
8/1/1397,4.1,4.5,1.2,5.9,1.7,1.3,0.3,3.2,0.5,2.3,3.5,2.6
9/1/1397,4.8,3.2,1.2,4.7,1,1.9,-0.4,1.6,0.9,1.8,0.9,2.6
10/1/1397,2.8,2.4,1.1,3.1,2.2,1.9,0.1,1.7,1.3,3.7,1.8,2
11/1/1397,4.5,2.6,0.3,1.9,1.1,2.7,0.1,1.1,0.5,2.5,1.5,2.2
12/1/1397,6.4,5,0.7,3.5,1.4,9.3,1.2,3.9,0,4.6,2.5,3.9
1/1/1398,8.8,2,1.5,1.9,1.7,-0.8,0.5,1.8,0.3,6,6.1,4
2/1/1398,-0.7,3.5,1,4.4,1.8,7.8,1.1,4.9,0.1,2.5,3.1,1.5
3/1/1398,-0.2,2.5,1.3,2.6,1.4,0.4,0.5,2.1,0.1,1.2,0.8,0.8
4/1/1398,1.3,2.4,4.4,2.7,5.9,2,0.6,4,2,3.3,2.1,2.8
5/1/1398,-0.5,2,1.8,2.3,1,-0.7,-0.3,1.4,0.6,1.7,0.9,0.6
6/1/1398,-1.4,2.1,2.4,1.5,0.8,-1,-0.9,1.7,2.3,1.4,0.9,0.5
7/1/1398,-1,2,4.4,1.4,2.6,1,-0.6,2.1,12.7,1.7,1.3,1.7
8/1/1398,1.4,1.6,1.3,1,1,5.4,-0.2,0.3,0.2,1,0.7,1.6
9/1/1398,4.1,1.9,0.4,1.4,1.4,14.7,0.7,1.1,0.1,1,1.5,3.2
10/1/1398,-0.3,1.5,0.9,1.3,1.3,3,0.5,1.8,0.3,1.6,1.5,0.8
11/1/1398,0.8,1.6,0.4,1.2,0.7,4.3,0.3,0.9,0.8,0.7,1,1.1
12/1/1398,1.9,3.1,0.4,2,0.6,2.7,1.1,1.6,0.1,0.6,2.1,1.5
1/1/1399,5.1,0.9,0.2,1.2,0.6,1,1.3,1.1,0,0.1,4,2.1
2/1/1399,0.4,3,1.9,4.6,2.9,8.6,3.3,4.2,0.1,0.9,3.7,2.5
3/1/1399,2.4,2.7,1.4,3.4,3.1,0.5,1,3.6,0.3,2.5,3.1,2
4/1/1399,6.7,4.8,6.9,6.4,5.3,7,3.7,7,3.3,6.3,5.8,6.4
5/1/1399,3.6,3.3,2.8,5.9,1.7,5.2,1.7,4.7,2.2,3.3,3.7,3.5
6/1/1399,3,3.4,2.7,4.1,2.2,8.4,2.9,4.2,3.5,2.6,2.7,3.6
7/1/1399,5.7,5.9,4.5,8.2,6.8,17,5.6,7.3,6.8,4,6.1,7
8/1/1399,13,4,1,5.3,3.2,-1.1,0.8,4.2,1.9,5.7,2,5.2
9/1/1399,5,3,0.5,4.4,1.8,-3.6,0,2.7,0.5,3.5,2.2,2
10/1/1399,0.9,3.4,2.1,4.2,2.9,1.3,0.1,3.4,0.5,2.7,2.9,1.8
11/1/1399,5.2,3.4,0,2.9,1.7,0.6,-1.5,3.9,0.9,4.5,1.9,2.5
12/1/1399,1.7,4.7,1.5,2.8,2.3,0.9,-0.1,2,0.2,4.7,1.6,1.8
1/1/1400,2.9,3.2,1.3,3,3.5,2.5,0.5,2,0.9,6.2,8,2.7
2/1/1400,-0.8,2.8,0.9,2.3,2.4,2,-1.5,1.4,0.3,2.6,1.8,0.7
3/1/1400,3.2,4.2,1.4,2.4,2.7,2.9,-0.7,2.2,0.6,3,3,2.5
4/1/1400,3.1,3.4,3.9,2.3,6.3,4.2,0.1,2.6,1.7,6.8,2,3.5
5/1/1400,4.6,2.9,2.2,2.4,1.3,3.6,1,2.1,1,3.8,2,3.2
6/1/1400,5,2.8,4.2,2.6,2.1,3.5,1.3,2,2.2,4.2,2.4,3.9
7/1/1400,5,3.3,3.6,2.5,2.4,1.5,1.1,2.8,13.5,5.1,1.9,3.7
8/1/1400,3.1,3.2,1.5,2.1,1.5,3.4,1,2.1,2.4,2.6,1.9,2.5
9/1/1400,1.4,3.1,1,2.1,1.3,2.8,1,2.1,1.6,2,2.2,1.7
10/1/1400,1.7,2.8,3.4,1.9,2.6,2.7,0.2,1.9,0.7,4,1.7,2.4
11/1/1400,3.9,2.6,0.5,1.6,1.3,1.2,-0.1,2.1,0.6,2.9,1.1,2.1
12/1/1400,1.7,4.4,0.5,1.7,0.8,0,0.1,1.1,0.1,2.8,2.4,1.3
1/1/1401,4.9,2.4,2,1.6,2.2,3.3,0.9,2.1,0.3,4.8,4.6,3.3
2/1/1401,3.3,3.9,2.1,3.3,4.2,6.7,1.5,2.8,0.5,6.7,3.9,3.5
3/1/1401,25.4,5.6,2.8,6.1,6,3.7,1.3,4,1.1,19.2,5.4,12.2
4/1/1401,5.7,3.6,3.9,4.1,6.1,3.1,1,2.9,3.9,5.8,3,4.6
